
Errors of cell definition in EPS Page No. =   1
Overlapped Cell IDs  x, y, z  coodinates
(Cells 0       0  indicate undefined region)
       2    2100     5.000001E-02 -9.456907E+00  1.567573E+00
       2    2100     5.000001E-02 -9.456907E+00  1.808531E+00
       2    2100     5.000001E-02 -9.456907E+00  2.049489E+00
       2    2100     5.000001E-02 -9.456907E+00  2.290448E+00
       2    2100     5.000001E-02 -9.456907E+00  2.531406E+00
       2    2100     5.000001E-02 -9.456907E+00  2.772364E+00
       2    2200     5.000001E-02 -9.456907E+00  6.145777E+00
       2    2200     5.000001E-02 -9.456907E+00  6.386735E+00
       2    2200     5.000001E-02 -9.456907E+00  6.627693E+00
       2    2200     5.000001E-02 -9.456907E+00  6.868651E+00
       2    2200     5.000001E-02 -9.456907E+00  7.109609E+00
       2    2200     5.000001E-02 -9.456907E+00  7.350567E+00
       2    2200     5.000001E-02 -9.456907E+00  7.591525E+00
       2    2200     5.000001E-02 -9.456907E+00  7.832483E+00
       2    2200     5.000001E-02 -9.456907E+00  8.073442E+00
       2    2200     5.000001E-02 -9.456907E+00  8.314400E+00
       2    2200     5.000001E-02 -9.456907E+00  8.555358E+00
       2    2200     5.000001E-02 -9.456907E+00  8.796316E+00
       2    2600     5.000001E-02 -9.456907E+00  1.891656E+01
       2    2600     5.000001E-02 -9.456907E+00  1.915751E+01
       2    2600     5.000001E-02 -9.456907E+00  1.939847E+01
       2    2602     5.000001E-02 -9.456907E+00  1.963943E+01
       2    2600     5.000001E-02 -9.456907E+00  1.988039E+01
       2    2300     5.000001E-02 -9.456907E+00  3.313308E+01
       2    2300     5.000001E-02 -9.456907E+00  3.337404E+01
       2    2300     5.000001E-02 -9.456907E+00  3.361500E+01
       2    2300     5.000001E-02 -9.456907E+00  3.385596E+01
       2    2300     5.000001E-02 -9.456907E+00  3.409691E+01
       2    2300     5.000001E-02 -9.456907E+00  3.433787E+01
       2    2300     5.000001E-02 -9.456907E+00  3.457883E+01
       2    2400     5.000001E-02 -9.456907E+00  3.481979E+01
       2    2400     5.000001E-02 -9.456907E+00  3.506075E+01
       2    2400     5.000001E-02 -9.456907E+00  3.530171E+01
       2    2400     5.000001E-02 -9.456907E+00  3.554266E+01
       2    2400     5.000001E-02 -9.456907E+00  3.578362E+01
       2    2400     5.000001E-02 -9.456907E+00  3.602458E+01
       2     103     5.000001E-02 -9.456907E+00  6.301188E+01
       2     103     5.000001E-02 -9.456907E+00  6.325284E+01
       2     103     5.000001E-02 -9.456907E+00  6.349380E+01
       2     103     5.000001E-02 -9.456907E+00  6.373476E+01
