
Errors of cell definition in EPS Page No. =   1
Overlapped Cell IDs  x, y, z  coodinates
(Cells 0       0  indicate undefined region)
     600    7033     7.812558E-01 -2.373557E-01  9.854250E+01
     600    7033     8.854225E-01 -2.373557E-01  9.854250E+01
     600    7033     9.895891E-01 -2.373557E-01  9.854250E+01
     600    7033     1.093756E+00 -2.373557E-01  9.854250E+01
     600    7033     1.197922E+00 -2.373557E-01  9.854250E+01
     600    7033     1.302089E+00 -2.373557E-01  9.854250E+01
     600    7033    -1.302078E+00 -1.335821E-01  9.854250E+01
     600    7033    -1.197911E+00 -1.335821E-01  9.854250E+01
     600    7033    -1.093744E+00 -1.335821E-01  9.854250E+01
     600    7033    -9.895775E-01 -1.335821E-01  9.854250E+01
     600    7033    -8.854109E-01 -1.335821E-01  9.854250E+01
     600    7033    -7.812442E-01 -1.335821E-01  9.854250E+01
     600    7033    -6.770775E-01 -1.335821E-01  9.854250E+01
     600    7033    -5.729109E-01 -1.335821E-01  9.854250E+01
     600    7033    -4.687442E-01 -1.335821E-01  9.854250E+01
     600    7033    -3.645775E-01 -1.335821E-01  9.854250E+01
     600    7033    -2.604109E-01 -1.335821E-01  9.854250E+01
     600    7033    -1.562442E-01 -1.335821E-01  9.854250E+01
     600    7033    -5.207753E-02 -1.335821E-01  9.854250E+01
     600    7033     5.208914E-02 -1.335821E-01  9.854250E+01
     600    7033     1.562558E-01 -1.335821E-01  9.854250E+01
     600    7033     2.604225E-01 -1.335821E-01  9.854250E+01
     600    7033     3.645891E-01 -1.335821E-01  9.854250E+01
     600    7033     4.687558E-01 -1.335821E-01  9.854250E+01
     600    7033     5.729225E-01 -1.335821E-01  9.854250E+01
     600    7033     6.770891E-01 -1.335821E-01  9.854250E+01
     600    7033     7.812558E-01 -1.335821E-01  9.854250E+01
     600    7033     8.854225E-01 -1.335821E-01  9.854250E+01
     600    7033     9.895891E-01 -1.335821E-01  9.854250E+01
     600    7033     1.093756E+00 -1.335821E-01  9.854250E+01
     600    7033     1.197922E+00 -1.335821E-01  9.854250E+01
     600    7033     1.302089E+00 -1.335821E-01  9.854250E+01
     600    7033    -1.302078E+00 -2.980856E-02  9.854250E+01
     600    7033    -1.197911E+00 -2.980856E-02  9.854250E+01
     600    7033    -1.093744E+00 -2.980856E-02  9.854250E+01
     600    7033    -9.895775E-01 -2.980856E-02  9.854250E+01
     600    7033    -8.854109E-01 -2.980856E-02  9.854250E+01
     600    7033    -7.812442E-01 -2.980856E-02  9.854250E+01
     600    7033    -6.770775E-01 -2.980856E-02  9.854250E+01
     600    7033    -5.729109E-01 -2.980856E-02  9.854250E+01
     600    7033    -4.687442E-01 -2.980856E-02  9.854250E+01
     600    7033    -3.645775E-01 -2.980856E-02  9.854250E+01
